,Year,kms Driven,Fuel Type,Suspension,Price,Car Model
303,2017,3,Petrol,Manual,1,Honda BR-V i-VTEC
304,2017,4,Petrol,Automatic,1,Honda City i-VTEC
305,2014,4,Petrol,Manual,1,Honda Amaze S
306,2014,2,Petrol,Manual,1,Honda Amaze SX
307,2017,5,Petrol,Automatic,1,Honda City i-VTEC
308,2016,6,Petrol,Manual,1,Honda Amaze SX
309,2017,6,Petrol,Automatic,1,Honda City i-VTEC
310,2014,5,Petrol,Manual,1,Honda City i
311,2017,5,Petrol,Manual,1,Honda City i-VTEC
312,2015,2,Petrol,Automatic,1,Honda Amaze VX
313,2019,1,Petrol,Automatic,1,Honda Amaze S
314,2017,3,Petrol,Manual,1,Honda Jazz 1.2
315,2012,3,Petrol,Automatic,1,Honda City V
316,2017,3,Petrol,Manual,1,Honda City i
317,2016,4,Petrol,Manual,1,Honda City i
318,2016,3,Petrol,Automatic,1,Honda City i
319,2017,1,Petrol,Manual,1,Honda WR-V i-VTEC
320,2015,5,Petrol,Manual,1,Honda City V
321,2011,5,Petrol,Manual,1,Honda City 1.5
322,2012,8,Petrol,Manual,1,Honda Brio S
323,2014,1,Diesel,Manual,1,Honda City i
324,2013,2,Petrol,Automatic,1,Honda Amaze VX
325,2019,5,Diesel,Manual,1,Honda City i-DTEC
326,2012,4,Petrol,Manual,1,Honda Brio S
327,2008,1,Petrol,Manual,1,Honda City 1.5
328,2015,5,Petrol,Manual,1,Honda City i
329,2014,7,Diesel,Manual,1,Honda Amaze S
330,2015,1,Diesel,Manual,1,Honda City i
331,2010,6,Petrol,Automatic,1,Honda Civic 1.8
332,2021,2,Petrol,Manual,1,Honda City SV
333,2014,2,Petrol,Manual,1,Honda Amaze VX
334,2013,7,Diesel,Manual,1,Honda Amaze S
335,2014,8,Petrol,Manual,1,Honda Amaze S
336,2012,6,Petrol,Manual,1,Honda City S
337,2014,1,Diesel,Manual,1,Honda Amaze S
338,2011,5,Petrol,Manual,1,Honda City 1.5
339,2022,1,Petrol,Automatic,1,Honda Amaze VX
340,2018,8,Diesel,Manual,1,Honda WR-V i-DTEC
341,2014,5,Petrol,Manual,1,Honda Amaze E
342,2014,2,Petrol,Manual,1,Honda Amaze S
